"organisation","label","types","fk_sparql_query","metadata"
"http://dbpedia.org/resource/Sapienza_University_of_Rome","Sapienza University of Rome","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Manchester","University of Manchester","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Tsinghua_University","Tsinghua University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Uppsala_University","Uppsala University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Cheltenham_College","Cheltenham College","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Wrocław","University of Wrocław","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/King's_College,_Aberdeen","King's College, Aberdeen","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Antonino_Salinas_Regional_Archaeological_Museum","Antonino Salinas Regional Archaeological Museum","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Columbia_University","Columbia University","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Harvard_University","Harvard University","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Instituto_Nacional_de_Antropología_e_Historia","Instituto Nacional de Antropología e Historia","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Wisconsin–Milwaukee","University of Wisconsin–Milwaukee","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Chicago","University of Chicago","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Mucking_(archaeological_site)","Mucking (archaeological site)","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Cairo_University","Cairo University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Oriel_College,_Oxford","Oriel College, Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Lviv","University of Lviv","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_College_Cork","University College Cork","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Lawrence_University","Lawrence University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/UCL_Institute_of_Archaeology","Papers from the Institute of Archaeology","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Shalem_Center","Shalem Center","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/National_Monuments_Council_(South_Africa_and_Namibia)","National Monuments Council (South Africa and Namibia)","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Institut_national_des_langues_et_civilisations_orientales","Institut national des langues et civilisations orientales","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Illinois_Urbana-Champaign","University of Illinois Urbana-Champaign","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Queensland","University of Queensland","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Peking_University","Peking University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_East_Anglia","University of East Anglia","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Washington","University of Washington","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Albion_College","Albion College","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Göttingen","University of Göttingen","almaMater,institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Hunterian_Museum_and_Art_Gallery","Hunterian Museum and Art Gallery","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/National_Autonomous_University_of_Mexico","National Autonomous University of Mexico","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Southern_Methodist_University","Southern Methodist University","institution",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/École_pratique_des_hautes_études","École pratique des hautes études","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Cape_Town","University of Cape Town","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Pennsylvania","University of Pennsylvania","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/University_of_Oxford","University of Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/St_John's_College,_Oxford","St John's College, Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Accademia_di_Belle_Arti_di_Venezia","Accademia di Belle Arti di Venezia","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Banaras_Hindu_University","Banaras Hindu University","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Somerville_College,_Oxford","Somerville College, Oxford","almaMater",4,"Importation 7 decembre 2025"
"http://dbpedia.org/resource/Katz_Center_for_Advanced_Judaic_Studies","Katz Center for Advanced Judaic Studies","almaMater",4,"Importation 7 decembre 2025"
