"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Bertha_Parker_Pallan","Bertha Parker Pallan",1907
"http://dbpedia.org/resource/Aileen_Fox","Aileen Fox",1907
"http://dbpedia.org/resource/Robert_John_Braidwood","Robert John Braidwood",1907
"http://dbpedia.org/resource/Charles_Godakumbura","Charles Godakumbura",1907
"http://dbpedia.org/resource/Linda_Braidwood","Linda Braidwood",1909
"http://dbpedia.org/resource/Avraham_Biran","Avraham Biran",1909
"http://dbpedia.org/resource/Nikolaos_Platon","Nikolaos Platon",1909
"http://dbpedia.org/resource/Jacquetta_Hawkes","Jacquetta Hawkes",1910
"http://dbpedia.org/resource/Veronica_Seton-Williams","Veronica Seton-Williams",1910
"http://dbpedia.org/resource/Stuart_Piggott","Stuart Piggott",1910
"http://dbpedia.org/resource/Cleo_Rickman_Fitch","Cleo Rickman Fitch",1910
"http://dbpedia.org/resource/Anne_Strachan_Robertson","Anne Strachan Robertson",1910
"http://dbpedia.org/resource/Mercy_Seiradaki","Mercy Seiradaki",1910
"http://dbpedia.org/resource/Elsie_Jury","Elsie Jury",1910
"http://dbpedia.org/resource/Ekrem_Akurgal","Ekrem Akurgal",1911
"http://dbpedia.org/resource/Chen_Mengjia","Chen Mengjia",1911
"http://dbpedia.org/resource/Kenneth_Oakley","Kenneth Oakley",1911
"http://dbpedia.org/resource/André_Leroi-Gourhan","André Leroi-Gourhan",1911
"http://dbpedia.org/resource/Marion_Stirling_Pugh","Marion Stirling Pugh",1911
"http://dbpedia.org/resource/Jean_Boisselier","Jean Boisselier",1912
"http://dbpedia.org/resource/John_Bryan_Ward-Perkins","John Bryan Ward-Perkins",1912
"http://dbpedia.org/resource/Roger_Duff","Roger Duff",1912
"http://dbpedia.org/resource/James_Stewart_(archaeologist)","James Stewart (archaeologist)",1913
"http://dbpedia.org/resource/Irving_Rouse","Irving Rouse",1913
"http://dbpedia.org/resource/Gordon_Willey","Gordon Willey",1913
"http://dbpedia.org/resource/Christiane_Desroches_Noblecourt","Christiane Desroches Noblecourt",1913
"http://dbpedia.org/resource/Mary_Leakey","Mary Leakey",1913
"http://dbpedia.org/resource/Zdenko_Vinski","Zdenko Vinski",1913
"http://dbpedia.org/resource/Helen_Waterhouse","Helen Waterhouse",1913
"http://dbpedia.org/resource/Ruth_Amiran","Ruth Amiran",1914
"http://dbpedia.org/resource/Muazzez_İlmiye_Çığ","Muazzez İlmiye Çığ",1914
"http://dbpedia.org/resource/Glyn_Daniel","Glyn Daniel",1914
"http://dbpedia.org/resource/E._Wyllys_Andrews_IV","E. Wyllys Andrews IV",1916
"http://dbpedia.org/resource/Rúaidhrí_de_Valera","Rúaidhrí de Valera",1916
"http://dbpedia.org/resource/John_C._Trever","John C. Trever",1916
"http://dbpedia.org/resource/Margaret_Ursula_Jones","Margaret Ursula Jones",1916
"http://dbpedia.org/resource/Yigael_Yadin","Yigael Yadin",1917
"http://dbpedia.org/resource/Honor_Frost","Honor Frost",1917
"http://dbpedia.org/resource/John_Howland_Rowe","John Howland Rowe",1918
"http://dbpedia.org/resource/Crystal_Bennett","Crystal Bennett",1918
"http://dbpedia.org/resource/Lili_Kaelas","Lili Kaelas",1919
"http://dbpedia.org/resource/Richard_J._C._Atkinson","Richard J. C. Atkinson",1920
"http://dbpedia.org/resource/Ahmad_Hasan_Dani","Ahmad Hasan Dani",1920
"http://dbpedia.org/resource/Betty_Meggers","Betty Meggers",1921
"http://dbpedia.org/resource/Marija_Gimbutas","Marija Gimbutas",1921
"http://dbpedia.org/resource/B._B._Lal","B. B. Lal",1921
"http://dbpedia.org/resource/Trude_Dothan","Trude Dothan",1922
"http://dbpedia.org/resource/Sabatino_Moscati","Sabatino Moscati",1922
"http://dbpedia.org/resource/Su_Bai","Su Bai",1922
"http://dbpedia.org/resource/Ian_Graham","Ian Graham",1923
"http://dbpedia.org/resource/Fred_Wendorf","Fred Wendorf",1924
"http://dbpedia.org/resource/Louis_Dupree_(professor)","Louis Dupree (professor)",1925
"http://dbpedia.org/resource/James_Mellaart","James Mellaart",1925
"http://dbpedia.org/resource/Wang_Zhongshu","Wang Zhongshu",1925
"http://dbpedia.org/resource/Aubrey_Burl","Aubrey Burl",1926
"http://dbpedia.org/resource/Donald_Lathrap","Donald Lathrap",1927
"http://dbpedia.org/resource/John_Boardman_(art_historian)","John Boardman (art historian)",1927
"http://dbpedia.org/resource/Ma_Chengyuan","Ma Chengyuan",1927
"http://dbpedia.org/resource/Stanley_South","Stanley South",1928
"http://dbpedia.org/resource/Charles_Thomas_(historian)","Charles Thomas (historian)",1928
"http://dbpedia.org/resource/John_Wymer","John Wymer",1928
"http://dbpedia.org/resource/Viktor_Sarianidi","Viktor Sarianidi",1929
"http://dbpedia.org/resource/Seifollah_Kambakhshfard","Seifollah Kambakhshfard",1929
"http://dbpedia.org/resource/Mai_Yinghao","Mai Yinghao",1929
"http://dbpedia.org/resource/George_Eogan","George Eogan",1930
"http://dbpedia.org/resource/Nancy_Lapp","Nancy Lapp",1930
"http://dbpedia.org/resource/R._Nagaswamy","R. Nagaswamy",1930
"http://dbpedia.org/resource/Fumiko_Ikawa-Smith","Fumiko Ikawa-Smith",1930
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)","Brian Dobson (archaeologist)",1931
"http://dbpedia.org/resource/Larissa_Bonfante","Larissa Bonfante",1931
"http://dbpedia.org/resource/Youssef_Hourany","Youssef Hourany",1931
"http://dbpedia.org/resource/Kwang-chih_Chang","Kwang-chih Chang",1931
"http://dbpedia.org/resource/Lewis_Binford","Lewis Binford",1931
"http://dbpedia.org/resource/Elizabeth_French","Elizabeth French",1931
"http://dbpedia.org/resource/Alexandru_Vulpe","Alexandru Vulpe",1931
"http://dbpedia.org/resource/Sarah_Milledge_Nelson","Sarah Milledge Nelson",1931
"http://dbpedia.org/resource/Patty_Jo_Watson","Patty Jo Watson",1932
"http://dbpedia.org/resource/George_Bass_(archaeologist)","George Bass (archaeologist)",1932
"http://dbpedia.org/resource/Henrieta_Todorova","Henrieta Todorova",1933
"http://dbpedia.org/resource/Li_Xueqin","Li Xueqin",1933
"http://dbpedia.org/resource/Ufuk_Esin","Ufuk Esin",1933
"http://dbpedia.org/resource/Susan_Bulmer","Susan Bulmer",1933
"http://dbpedia.org/resource/Karl_Butzer","Karl Butzer",1934
"http://dbpedia.org/resource/Isabel_McBryde","Isabel McBryde",1934
"http://dbpedia.org/resource/Peter_Garlake","Peter Garlake",1934
"http://dbpedia.org/resource/Ehud_Netzer","Ehud Netzer",1934
"http://dbpedia.org/resource/Parviz_Varjavand","Parviz Varjavand",1934
"http://dbpedia.org/resource/E._C._L._During_Caspers","E. C. L. During Caspers",1934
"http://dbpedia.org/resource/Malcolm_H._Wiener","Malcolm H. Wiener",1935
"http://dbpedia.org/resource/John_Clegg_(archaeologist)","John Clegg (archaeologist)",1935
"http://dbpedia.org/resource/Chen_Tiemei","Chen Tiemei",1935
"http://dbpedia.org/resource/James_B._Stoltman","James B. Stoltman",1935
"http://dbpedia.org/resource/Cynthia_Irwin-Williams","Cynthia Irwin-Williams",1936
"http://dbpedia.org/resource/Josephine_Flood","Josephine Flood",1936
"http://dbpedia.org/resource/Brian_M._Fagan","Brian M. Fagan",1936
"http://dbpedia.org/resource/Hilary_Deacon","Hilary Deacon",1936
"http://dbpedia.org/resource/Martha_Sharp_Joukowsky","Martha Sharp Joukowsky",1936
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino","Gheorghe I. Cantacuzino",1937
"http://dbpedia.org/resource/Bruce_Trigger","Bruce Trigger",1937
"http://dbpedia.org/resource/Martin_Biddle","Martin Biddle",1937
"http://dbpedia.org/resource/Colin_Renfrew","Colin Renfrew",1937
"http://dbpedia.org/resource/Glynn_Isaac","Glynn Isaac",1937
"http://dbpedia.org/resource/David_L._Clarke","David L. Clarke",1937
"http://dbpedia.org/resource/Diane_Barwick","Diane Barwick",1938
"http://dbpedia.org/resource/Peter_Ucko","Peter Ucko",1938
"http://dbpedia.org/resource/Lamia_Al-Gailani_Werr","Lamia Al-Gailani Werr",1938
"http://dbpedia.org/resource/Ron_Vanderwal","Ron Vanderwal",1938
"http://dbpedia.org/resource/Barry_Cunliffe","Barry Cunliffe",1939
"http://dbpedia.org/resource/Malcolm_Todd","Malcolm Todd",1939
"http://dbpedia.org/resource/Paul_Mellars","Paul Mellars",1939
"http://dbpedia.org/resource/Janette_Deacon","Janette Deacon",1939
"http://dbpedia.org/resource/Cajsa_S._Lund","Cajsa S. Lund",1940
"http://dbpedia.org/resource/Manfred_Bietak","Manfred Bietak",1940
"http://dbpedia.org/resource/Sadegh_Malek_Shahmirzadi","Sadegh Malek Shahmirzadi",1940
"http://dbpedia.org/resource/Jean-François_Jarrige","Jean-François Jarrige",1940
"http://dbpedia.org/resource/Dilip_Kumar_Chakrabarti","Dilip Kumar Chakrabarti",1941
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)","Richard Klein (paleoanthropologist)",1941
"http://dbpedia.org/resource/Martin_Carver","Martin Carver",1941
"http://dbpedia.org/resource/Carmel_Schrire","Carmel Schrire",1941
"http://dbpedia.org/resource/Manfred_Korfmann","Manfred Korfmann",1942
"http://dbpedia.org/resource/Foss_Leach","Foss Leach",1942
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi","Alireza Shapour Shahbazi",1942
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala","Siran Upendra Deraniyagala",1942
"http://dbpedia.org/resource/Amihai_Mazar","Amihai Mazar",1942
"http://dbpedia.org/resource/Donald_Johanson","Donald Johanson",1943
"http://dbpedia.org/resource/Peter_Woodman","Peter Woodman",1943
"http://dbpedia.org/resource/Victor_Spinei","Victor Spinei",1943
"http://dbpedia.org/resource/William_W._Fitzhugh","William W. Fitzhugh",1943
"http://dbpedia.org/resource/Gordon_Hillman","Gordon Hillman",1943
